"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
162255552,"Florida",0,0,1,0,0,55,1,"Barack Obama (Democratic)","1948"
164637936,"Texas",0,0,1,0,0,35,NA,NA,"1994"
162209537,"Pennsylvania",0,1,1,0,0,35,0,"Mitt Romney (Republican)","1960"
164961676,"California",0,0,0,0,0,15,0,"Mitt Romney (Republican)","1949"
162268866,"Kentucky",0,1,1,0,1,130,0,"Mitt Romney (Republican)","1947"
162880836,"Arizona",0,0,0,0,1,55,NA,NA,"1950"
162292772,"Wisconsin",0,0,1,0,1,NA,1,"Barack Obama (Democratic)","1957"
163203819,"Illinois",1,0,1,0,1,425,1,"Barack Obama (Democratic)","1944"
163705640,"Illinois",0,0,1,0,0,45,NA,NA,"1986"
166419237,"Iowa",0,0,1,0,0,15,NA,NA,"1951"
162325918,"Colorado",0,0,0,0,0,5,NA,NA,"1956"
162343790,"Texas",0,1,1,0,1,300,0,"Mitt Romney (Republican)","1943"
164457078,"Wisconsin",0,0,1,0,0,NA,0,"Mitt Romney (Republican)","1945"
162524661,"New Jersey",0,1,1,0,0,225,0,"Mitt Romney (Republican)","1971"
164309730,"Alabama",1,0,0,0,0,15,1,"Barack Obama (Democratic)","1985"
123663126,"New York",0,0,1,0,1,NA,NA,NA,"1982"
162400613,"Texas",0,1,1,0,1,75,0,"Mitt Romney (Republican)","1947"
164677504,"Pennsylvania",0,0,1,0,0,5,1,"Barack Obama (Democratic)","1962"
165357350,"Kansas",1,0,0,1,1,15,NA,NA,"1982"
162716760,"Texas",1,0,1,0,0,65,1,"Barack Obama (Democratic)","1964"
162799934,"Arizona",0,0,1,0,1,45,0,"Mitt Romney (Republican)","1956"
164641713,"Pennsylvania",1,0,0,0,0,25,NA,NA,"1984"
162263000,"Texas",0,1,1,0,1,175,0,"Mitt Romney (Republican)","1942"
161804555,"Kansas",1,0,1,0,0,35,1,"Barack Obama (Democratic)","1937"
164192096,"Pennsylvania",1,0,0,1,0,45,1,"Barack Obama (Democratic)","1951"
167837723,"Oregon",0,0,1,0,1,65,NA,NA,"1979"
164988552,"North Carolina",1,0,0,1,0,5,NA,NA,"1964"
164655515,"Florida",1,0,0,0,0,45,NA,NA,"1973"
162399987,"Pennsylvania",1,0,1,0,1,90,1,"Barack Obama (Democratic)","1958"
164829321,"Pennsylvania",1,0,1,0,0,35,1,"Barack Obama (Democratic)","1956"
166658254,"Wisconsin",0,1,1,0,1,NA,0,"Mitt Romney (Republican)","1949"
