"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama"
165949122,"Michigan",0,0,1,0,0,130,NA
162351850,"Vermont",0,1,1,0,1,110,0
165428078,"Georgia",0,1,1,0,0,75,0
162532867,"Colorado",0,1,1,0,0,90,1
162558740,"Rhode Island",1,0,1,0,0,35,1
165016919,"Florida",1,0,1,0,0,55,1
162376976,"Pennsylvania",0,1,1,0,0,25,0
162267759,"Arkansas",1,0,1,0,1,90,1
164178046,"Louisiana",0,1,1,0,0,65,NA
164954511,"Kansas",1,0,0,0,0,5,NA
162393058,"Washington",0,1,1,0,0,NA,0
162626102,"Minnesota",1,0,1,0,0,55,1
164188108,"Massachusetts",1,0,1,0,0,NA,1
162456868,"Connecticut",0,0,1,0,0,90,1
163552228,"Georgia",1,0,1,0,1,55,NA
164267471,"Rhode Island",0,0,1,0,0,NA,NA
165477303,"Nebraska",1,0,1,0,0,NA,0
162401936,"Michigan",1,0,1,0,1,90,NA
163353258,"Alabama",1,0,1,0,0,45,1
162337822,"Oregon",0,0,1,0,1,110,1
162253738,"Indiana",0,0,1,0,0,130,1
162547981,"South Carolina",0,1,1,0,1,130,0
164095553,"Kentucky",0,0,1,0,0,25,0
163693500,"Indiana",1,0,1,0,0,75,NA
163248767,"California",1,0,0,0,1,110,NA
162667335,"Hawaii",1,0,1,0,1,15,1
162386421,"Arizona",0,0,1,0,1,90,0
162529937,"Pennsylvania",0,0,0,0,0,NA,0
163547475,"California",0,0,0,0,1,90,0
164204875,"Massachusetts",1,0,0,0,0,45,1
164815673,"Arizona",1,0,1,0,0,NA,1
162307946,"North Carolina",0,0,1,0,1,225,0
162273194,"Vermont",0,1,1,0,0,45,0
164047531,"Texas",1,0,0,1,0,35,NA
162853476,"Florida",0,1,1,0,0,NA,0
164693860,"New Jersey",0,0,0,1,0,15,1
164028540,"Ohio",0,0,1,0,0,15,0
163529886,"Mississippi",0,0,1,0,1,130,1
162891700,"Illinois",0,1,0,1,1,35,NA
162278587,"California",0,0,1,0,1,NA,0
163904983,"California",0,0,0,0,0,25,NA
162391115,"Connecticut",0,0,1,0,0,NA,0
163527717,"Texas",0,1,1,0,1,110,0
163668566,"Florida",1,0,0,0,0,15,NA
163090174,"California",0,1,0,0,0,55,1
164224955,"Michigan",0,0,0,1,1,110,NA
166291725,"New Mexico",1,0,0,0,0,25,NA
162397725,"Kansas",1,0,1,0,0,35,1
163241474,"California",1,0,1,0,0,55,0
162689193,"Texas",0,1,1,0,0,65,0
162944519,"Florida",0,0,0,0,1,15,NA
164685907,"North Carolina",0,0,0,0,0,NA,NA
164341003,"Indiana",0,0,1,0,0,15,0
164769452,"New York",1,0,1,0,0,NA,1
162891230,"Kansas",0,1,1,0,0,55,NA
164208462,"Massachusetts",1,0,0,0,0,25,0
163161081,"Texas",0,0,0,0,0,65,NA
163474172,"Texas",1,0,0,1,0,45,1
164054876,"Texas",0,0,0,0,0,25,NA
161837539,"Florida",1,0,1,0,1,90,1
162254524,"Missouri",0,0,1,0,0,NA,0
162445017,"Maryland",0,0,1,0,1,110,1
165136251,"California",1,0,0,0,0,75,NA
162314525,"California",1,0,1,0,1,55,1
162468450,"Washington",1,0,1,0,0,NA,1
